source,name,price
МегаЦвет24,101 Красная Роза Ред Наоми (40 см) [×15],1440
МегаЦвет24,25 Белых Роз Аваланж (40 см) [×15],1799
МегаЦвет24,151 Желтая Роза (40 см.) [×15],1341
МегаЦвет24,35 Малиновых Пионов Александр Флеминг [×15],3514
МегаЦвет24,7 Бело-Голубых Гортензий [×15],11998
МегаЦвет24,19 Лилий Микс [×15],5999
МегаЦвет24,25 Белых Кустовых Хризантем Ромашка в корзине [×15],6059
МегаЦвет24,51 Разноцветная Альстромерия Микс [×15],2500
МегаЦвет24,35 Синих Ирисов [×15],2571
МегаЦвет24,25 Разноцветных Гербер Микс [×15],2759
МегаЦвет24,15 Розовых Эустом,6899
МегаЦвет24,25 Красных Гвоздик [×15],1559
МегаЦвет24,151 Подсолнух [×15],8116
МегаЦвет24,15 Кустовых Ромашек,2899
МегаЦвет24,35 Цветков Орхидеи Космос Синей [×15],1242
МегаЦвет24,5 Светло-Розовых Гипсофил [×15],5097
BBFlowers ×15,Роза Gr Country Secret одноголовая 50 см,1500
BBFlowers ×15,Роза Gr Tacazzi одноголовая 60 см,1500
BBFlowers ×15,Роза Tr Jullietta Cerise кустовая пионовидная 50 см,2700
BBFlowers ×15,Роза Tr Miss Bombastic кустовая пионовидная 60 см,2700
BBFlowers ×15,Сантини Pizarro 55 см,1950
BBFlowers ×15,Хризантема G Magnum одноголовая 70 см,2550
BBFlowers ×15,Хризантема T Altaj кустовая 70 см,2400
BBFlowers ×15,Пион Belgravia 60 см,4500
BBFlowers ×15,Пион L Mme Cl Tain 50 см,4500
BBFlowers ×15,Гербера аква mix,2250
BBFlowers ×15,Гермини Snoopy 50 см,1500
BBFlowers ×15,Альстромерия Mix 80 см (Tessa),2250
BBFlowers ×15,Эустома G Alissa Pure White махровая 70 см,4500
BBFlowers ×15,Эустома G Lisanne L Pink 75 см,4500
ОптЦвет ×15,Роза Мондиаль,3975
ОптЦвет ×15,Тюльпан желтый,2535
ОптЦвет ×15,Гербера,3435
ОптЦвет ×15,Альстромерия,3285
ОптЦвет ×15,Хризантема кустовая,2325
ОптЦвет ×15,Дендробиум,2835
ОптЦвет ×15,Гвоздика кустовая,1785
ОптЦвет ×15,Ирис,2235
